acc,batch,loss,size,val_acc,val_f1
0.5234375,0,0.6901509,128,0.2,0.0
0.5703125,0,0.68821776,128,0.4,0.5
0.546875,0,0.69022614,128,0.1,0.0
0.5,0,0.68972135,128,0.2,0.2
0.6015625,0,0.67449725,128,0.3,0.36363636363636365
0.6484375,0,0.66096133,128,0.2,0.0
0.7265625,0,0.5967367,128,0.3,0.36363636363636365
0.734375,0,0.5633833,128,0.4,0.5
0.6953125,0,0.60871637,128,0.3,0.36363636363636365
0.8203125,0,0.4552001,128,0.2,0.3333333333333333
0.828125,0,0.36521596,128,0.3,0.36363636363636365
0.828125,0,0.35121182,128,0.4,0.5714285714285714
0.90625,0,0.2577035,128,0.4,0.5714285714285714
0.9765625,0,0.13738981,128,0.6,0.75
0.921875,0,0.22503093,128,0.5,0.6666666666666666
0.921875,0,0.19788325,128,0.4,0.5
0.9921875,0,0.08328174,128,0.7,0.8235294117647058
0.96875,0,0.12959008,128,0.5,0.5454545454545454
1.0,0,0.04882955,128,0.6,0.75
0.96875,0,0.08400573,128,0.5,0.6666666666666666
0.984375,0,0.04955925,128,0.6,0.6666666666666666
0.9765625,0,0.04737734,128,0.2,0.3333333333333333
1.0,0,0.020665802,128,0.6,0.75
1.0,0,0.019334182,128,0.4,0.5714285714285714
1.0,0,0.010946406,128,0.3,0.36363636363636365
1.0,0,0.014521407,128,0.5,0.6153846153846153
0.9921875,0,0.028427787,128,0.5,0.6153846153846153
0.9921875,0,0.036491845,128,0.3,0.36363636363636365
1.0,0,0.0073402547,128,0.5,0.6153846153846153
0.9765625,0,0.07182883,128,0.6,0.75
1.0,0,0.0068781865,128,0.5,0.6666666666666666
0.9921875,0,0.024661535,128,0.3,0.36363636363636365
0.9765625,0,0.037266336,128,0.4,0.5
1.0,0,0.019399937,128,0.5,0.6153846153846153
1.0,0,0.009919371,128,0.4,0.5
0.9921875,0,0.021213343,128,0.4,0.5
1.0,0,0.008683407,128,0.6,0.7142857142857143
1.0,0,0.0077890293,128,0.4,0.5
1.0,0,0.002486675,128,0.4,0.5
1.0,0,0.0010377317,128,0.3,0.36363636363636365
1.0,0,0.0012420033,128,0.3,0.36363636363636365
1.0,0,0.0011264649,128,0.3,0.36363636363636365
1.0,0,0.0017980067,128,0.3,0.36363636363636365
1.0,0,0.0010193625,128,0.6,0.7142857142857143
1.0,0,0.0006753828,128,0.4,0.5
1.0,0,0.0015510723,128,0.5,0.6153846153846153
1.0,0,0.0004951112,128,0.5,0.6153846153846153
1.0,0,0.0003346611,128,0.4,0.5
1.0,0,0.00033442123,128,0.4,0.5
1.0,0,0.0004650591,128,0.5,0.6153846153846153
