acc,batch,loss,size,val_acc,val_f1
0.46875,0,0.6934196,128,0.6,0.7142857142857143
0.578125,0,0.68908656,128,0.2,0.2
0.5859375,0,0.6875731,128,0.4,0.5
0.5234375,0,0.68670785,128,0.6,0.7142857142857143
0.6328125,0,0.66584826,128,0.6,0.6666666666666666
0.5625,0,0.66469747,128,0.7,0.7692307692307692
0.578125,0,0.6768489,128,0.6,0.7142857142857143
0.65625,0,0.6300518,128,0.4,0.4
0.6796875,0,0.5695201,128,0.5,0.5454545454545454
0.7421875,0,0.48604473,128,0.5,0.6153846153846153
0.75,0,0.47247845,128,0.7,0.7999999999999999
0.7890625,0,0.4441797,128,0.5,0.5454545454545454
0.828125,0,0.35353228,128,0.4,0.4
0.796875,0,0.37191096,128,0.5,0.5454545454545454
0.921875,0,0.23518053,128,0.4,0.4
0.921875,0,0.21351264,128,0.5,0.5454545454545454
0.9609375,0,0.15838668,128,0.5,0.6153846153846153
0.9375,0,0.1537601,128,0.3,0.36363636363636365
0.984375,0,0.092724256,128,0.4,0.4
0.9921875,0,0.054199386,128,0.3,0.36363636363636365
1.0,0,0.02592732,128,0.4,0.4
0.9921875,0,0.050822683,128,0.5,0.6666666666666666
1.0,0,0.025656411,128,0.4,0.5
0.9921875,0,0.029312126,128,0.5,0.5454545454545454
1.0,0,0.023644673,128,0.5,0.5454545454545454
1.0,0,0.017454632,128,0.3,0.36363636363636365
1.0,0,0.018688729,128,0.4,0.4
1.0,0,0.01371539,128,0.5,0.5454545454545454
1.0,0,0.009555427,128,0.4,0.5
1.0,0,0.0048992247,128,0.4,0.5
1.0,0,0.0025593597,128,0.5,0.6153846153846153
0.9921875,0,0.022668917,128,0.5,0.5454545454545454
1.0,0,0.0016342213,128,0.5,0.5454545454545454
1.0,0,0.001076927,128,0.4,0.5
1.0,0,0.0022628682,128,0.4,0.4
1.0,0,0.0010337584,128,0.6,0.6666666666666666
1.0,0,0.0013573038,128,0.5,0.5454545454545454
1.0,0,0.0009705214,128,0.5,0.6153846153846153
1.0,0,0.003943001,128,0.5,0.5454545454545454
1.0,0,0.00090547546,128,0.4,0.4
1.0,0,0.0005430769,128,0.6,0.6666666666666666
1.0,0,0.00060057413,128,0.5,0.5454545454545454
1.0,0,0.0008194821,128,0.5,0.5454545454545454
1.0,0,0.000640288,128,0.6,0.6666666666666666
1.0,0,0.00057286525,128,0.6,0.6666666666666666
1.0,0,0.00017812563,128,0.5,0.5454545454545454
1.0,0,0.00023248556,128,0.6,0.6666666666666666
1.0,0,0.00035179284,128,0.6,0.6666666666666666
1.0,0,0.0008454948,128,0.5,0.5454545454545454
1.0,0,0.00024468635,128,0.5,0.5454545454545454
