acc,batch,loss,size,val_acc,val_f1
0.5078125,0,0.6934863,128,0.7,0.8235294117647058
0.625,0,0.6865467,128,0.4,0.5
0.59375,0,0.680581,128,0.5,0.6666666666666666
0.65625,0,0.66936135,128,0.3,0.36363636363636365
0.7265625,0,0.64833623,128,0.4,0.25
0.6484375,0,0.63487554,128,0.6,0.75
0.625,0,0.636559,128,0.6,0.75
0.6171875,0,0.63190174,128,0.6,0.75
0.734375,0,0.5621367,128,0.4,0.5
0.7734375,0,0.5013801,128,0.3,0.36363636363636365
0.8359375,0,0.42057574,128,0.3,0.22222222222222224
0.796875,0,0.407112,128,0.4,0.4
0.8671875,0,0.34360373,128,0.3,0.22222222222222224
0.921875,0,0.2551462,128,0.4,0.4
0.9375,0,0.20199865,128,0.4,0.4
0.9375,0,0.13739023,128,0.4,0.4
0.953125,0,0.1202634,128,0.4,0.4
0.9765625,0,0.09373216,128,0.4,0.4
0.953125,0,0.13587272,128,0.5,0.5454545454545454
0.9375,0,0.13785389,128,0.4,0.4
0.9609375,0,0.115620956,128,0.5,0.5454545454545454
0.9921875,0,0.037016533,128,0.3,0.22222222222222224
0.96875,0,0.08632703,128,0.6,0.6666666666666666
0.9921875,0,0.041615147,128,0.4,0.4
0.984375,0,0.030120593,128,0.6,0.6666666666666666
0.984375,0,0.043210782,128,0.4,0.4
1.0,0,0.013799124,128,0.4,0.4
1.0,0,0.006878295,128,0.4,0.4
1.0,0,0.003483425,128,0.4,0.4
1.0,0,0.0035922583,128,0.4,0.4
1.0,0,0.0017321883,128,0.4,0.4
1.0,0,0.0014857331,128,0.5,0.5454545454545454
1.0,0,0.00090112013,128,0.4,0.4
1.0,0,0.0011956529,128,0.4,0.4
1.0,0,0.0015013829,128,0.4,0.4
1.0,0,0.0012204367,128,0.4,0.4
1.0,0,0.0017750947,128,0.4,0.4
1.0,0,0.00044978881,128,0.4,0.4
1.0,0,0.0005618271,128,0.4,0.4
1.0,0,0.00050544256,128,0.4,0.4
1.0,0,0.0005048484,128,0.5,0.5454545454545454
1.0,0,0.000258279,128,0.5,0.5454545454545454
1.0,0,0.0002922276,128,0.5,0.5454545454545454
1.0,0,0.00069817004,128,0.5,0.5454545454545454
1.0,0,0.00046317626,128,0.5,0.5454545454545454
1.0,0,0.00036688574,128,0.5,0.5454545454545454
1.0,0,0.0003228093,128,0.5,0.5454545454545454
1.0,0,0.0032751383,128,0.5,0.5454545454545454
1.0,0,0.00058374915,128,0.4,0.4
1.0,0,0.00049276487,128,0.5,0.5454545454545454
