code,datemark,etf_score
0050,20180102,0.8879359747336061
0051,20180102,0.6875515062281647
0052,20180102,0.6801375615855494
0053,20180102,0.7870572979696073
0054,20180102,0.7932724637571843
0055,20180102,0.8863991700212901
0056,20180102,0.7905793949391351
0057,20180102,0.5856482665259609
0058,20180102,0.693608187991644
0059,20180102,0.8854205151027484
006201,20180102,0.6841199768023418
006203,20180102,0.8862170150744986
006204,20180102,0.888879327612872
006208,20180102,0.5884513114121578
00690,20180102,0.8880446371415202
00692,20180102,0.8868270774702368
00701,20180102,0.7859687776590447
00713,20180102,0.6917062436971182
0050,20180103,0.8912697705884385
0051,20180103,0.6913403747531097
0052,20180103,0.6863229999175824
0053,20180103,0.6889652026374194
0054,20180103,0.7947501359558753
0055,20180103,0.8856147677606384
0056,20180103,0.7930068269464849
0057,20180103,0.5894027440402577
0058,20180103,0.7960756301115501
0059,20180103,0.7854323228001729
006201,20180103,0.6874515342905454
006203,20180103,0.8893717517372429
006204,20180103,0.8910986393590692
006208,20180103,0.6914462707615348
00690,20180103,0.9892308617013734
00692,20180103,0.8895446861006953
00701,20180103,0.887203211025227
00713,20180103,0.6940465792155757
0050,20180104,0.7944182982726709
0051,20180104,0.6942140037619076
0052,20180104,0.6894242711227809
0053,20180104,0.7913131819588994
0054,20180104,0.7966034364801162
0055,20180104,0.7862621068517341
0056,20180104,0.7955201929888036
0057,20180104,0.5930070853514091
0058,20180104,0.8963795925959097
0059,20180104,0.6865711557074364
006201,20180104,0.588754963090881
006203,20180104,0.9932629907256273
006204,20180104,0.7942571732473581
006208,20180104,0.6937589273224418
00690,20180104,0.8917300272027914
00692,20180104,0.7930823362807942
00701,20180104,0.7890414738855211
00713,20180104,0.695627179374968
0050,20180105,0.7962074553250598
0051,20180105,0.6963468664683934
0052,20180105,0.6911266776939804
0053,20180105,0.793064621724489
0054,20180105,0.7968407255192753
0055,20180105,0.887790825274823
0056,20180105,0.7969733634786199
0057,20180105,0.5950401024731415
0058,20180105,0.8963446760555928
0059,20180105,0.7891064076103406
006201,20180105,0.5890027197565573
006203,20180105,0.8958432698160584
006204,20180105,0.7958021436236018
006208,20180105,0.6946454670353428
00690,20180105,0.8931024127524265
00692,20180105,0.7952947739100897
00701,20180105,0.7910293193845588
00713,20180105,0.6960173503655731
0050,20180108,0.7971060971872672
0051,20180108,0.7967429535539448
0052,20180108,0.6938094793908771
0053,20180108,0.7947179679300221
0054,20180108,0.7971250226040054
0055,20180108,0.8893562250737685
0056,20180108,0.7981398703467342
0057,20180108,0.5971023926622065
0058,20180108,0.897294468628165
0059,20180108,0.7916809345087623
006201,20180108,0.6895659013050308
006203,20180108,0.8972819507870202
006204,20180108,0.7971704826569734
006208,20180108,0.6965974758601913
00690,20180108,0.8936853832021376
00692,20180108,0.7968619459970001
00701,20180108,0.8933515472789242
00713,20180108,0.7966423927351443
0050,20180109,0.7969429269980073
0051,20180109,0.7976087201324364
